timestamp,value,unit
2024-01-01 00:00:00,42.35,percent
2024-01-01 00:05:00,24.96,percent
2024-01-01 00:10:00,51.35,percent
2024-01-01 00:15:00,32.61,percent
2024-01-01 00:20:00,45.6,percent
2024-01-01 00:25:00,47.77,percent
2024-01-01 00:30:00,58.61,percent
2024-01-01 00:35:00,31.91,percent
2024-01-01 00:40:00,14.8,percent
2024-01-01 00:45:00,46.84,percent
2024-01-01 00:50:00,63.01,percent
2024-01-01 00:55:00,57.39,percent
2024-01-01 01:00:00,47.1,percent
2024-01-01 01:05:00,40.08,percent
2024-01-01 01:10:00,53.07,percent
2024-01-01 01:15:00,35.26,percent
2024-01-01 01:20:00,49.76,percent
2024-01-01 01:25:00,50.05,percent
2024-01-01 01:30:00,55.6,percent
2024-01-01 01:35:00,72.6,percent
2024-01-01 01:40:00,48.92,percent
2024-01-01 01:45:00,39.91,percent
2024-01-01 01:50:00,44.74,percent
2024-01-01 01:55:00,27.31,percent
2024-01-01 02:00:00,38.05,percent
2024-01-01 02:05:00,40.91,percent
2024-01-01 02:10:00,39.76,percent
2024-01-01 02:15:00,46.52,percent
2024-01-01 02:20:00,36.78,percent
2024-01-01 02:25:00,56.21,percent
2024-01-01 02:30:00,45.0,percent
2024-01-01 02:35:00,44.91,percent
2024-01-01 02:40:00,41.72,percent
2024-01-01 02:45:00,46.55,percent
2024-01-01 02:50:00,53.25,percent
2024-01-01 02:55:00,36.33,percent
2024-01-01 03:00:00,38.42,percent
2024-01-01 03:05:00,41.96,percent
2024-01-01 03:10:00,31.54,percent
2024-01-01 03:15:00,36.81,percent
2024-01-01 03:20:00,40.24,percent
2024-01-01 03:25:00,53.74,percent
2024-01-01 03:30:00,47.63,percent
2024-01-01 03:35:00,46.94,percent
2024-01-01 03:40:00,53.51,percent
2024-01-01 03:45:00,43.63,percent
2024-01-01 03:50:00,48.9,percent
2024-01-01 03:55:00,43.97,percent
2024-01-01 04:00:00,47.65,percent
2024-01-01 04:05:00,39.17,percent
2024-01-01 04:10:00,20.61,percent
2024-01-01 04:15:00,43.66,percent
2024-01-01 04:20:00,59.23,percent
2024-01-01 04:25:00,54.26,percent
2024-01-01 04:30:00,54.65,percent
2024-01-01 04:35:00,57.36,percent
2024-01-01 04:40:00,45.89,percent
2024-01-01 04:45:00,46.97,percent
2024-01-01 04:50:00,38.82,percent
