timestamp,value,unit
2024-01-01 00:00:00,0.0,lux
2024-01-01 00:05:00,0.0,lux
2024-01-01 00:10:00,0.0,lux
2024-01-01 00:15:00,4.78,lux
2024-01-01 00:20:00,2.58,lux
2024-01-01 00:25:00,0.0,lux
2024-01-01 00:30:00,0.0,lux
2024-01-01 00:35:00,0.0,lux
2024-01-01 00:40:00,1.02,lux
2024-01-01 00:45:00,3.83,lux
2024-01-01 00:50:00,0.0,lux
2024-01-01 00:55:00,1.5,lux
2024-01-01 01:00:00,4.66,lux
2024-01-01 01:05:00,0.0,lux
2024-01-01 01:10:00,3.5,lux
2024-01-01 01:15:00,14.07,lux
2024-01-01 01:20:00,0.0,lux
2024-01-01 01:25:00,1.97,lux
2024-01-01 01:30:00,0.0,lux
2024-01-01 01:35:00,0.91,lux
2024-01-01 01:40:00,2.3,lux
2024-01-01 01:45:00,0.97,lux
2024-01-01 01:50:00,0.0,lux
2024-01-01 01:55:00,1.03,lux
2024-01-01 02:00:00,7.31,lux
2024-01-01 02:05:00,2.24,lux
2024-01-01 02:10:00,4.81,lux
2024-01-01 02:15:00,0.0,lux
2024-01-01 02:20:00,3.75,lux
2024-01-01 02:25:00,1.4,lux
2024-01-01 02:30:00,0.0,lux
2024-01-01 02:35:00,1.59,lux
2024-01-01 02:40:00,0.0,lux
2024-01-01 02:45:00,0.0,lux
2024-01-01 02:50:00,0.95,lux
2024-01-01 02:55:00,1.49,lux
2024-01-01 03:00:00,0.0,lux
2024-01-01 03:05:00,5.27,lux
2024-01-01 03:10:00,2.86,lux
2024-01-01 03:15:00,0.0,lux
2024-01-01 03:20:00,0.0,lux
2024-01-01 03:25:00,0.0,lux
2024-01-01 03:30:00,0.0,lux
2024-01-01 03:35:00,0.57,lux
2024-01-01 03:40:00,0.0,lux
2024-01-01 03:45:00,0.0,lux
2024-01-01 03:50:00,0.0,lux
2024-01-01 03:55:00,0.0,lux
2024-01-01 04:00:00,3.17,lux
2024-01-01 04:05:00,0.0,lux
2024-01-01 04:10:00,8.39,lux
2024-01-01 04:15:00,0.0,lux
2024-01-01 04:20:00,6.56,lux
2024-01-01 04:25:00,0.0,lux
2024-01-01 04:30:00,4.3,lux
2024-01-01 04:35:00,0.4,lux
2024-01-01 04:40:00,5.7,lux
2024-01-01 04:45:00,0.0,lux
2024-01-01 04:50:00,0.0,lux
2024-01-01 04:55:00,7.1,lux
2024-01-01 05:00:00,0.0,lux
2024-01-01 05:05:00,1.11,lux
2024-01-01 05:10:00,6.17,lux
2024-01-01 05:15:00,0.0,lux
2024-01-01 05:20:00,2.98,lux
2024-01-01 05:25:00,0.0,lux
2024-01-01 05:30:00,0.0,lux
2024-01-01 05:35:00,0.36,lux
2024-01-01 05:40:00,0.0,lux
2024-01-01 05:45:00,0.0,lux
2024-01-01 05:50:00,6.76,lux
2024-01-01 05:55:00,4.43,lux
2024-01-01 06:00:00,196.87,lux
2024-01-01 06:05:00,212.16,lux
2024-01-01 06:10:00,185.29,lux
2024-01-01 06:15:00,267.83,lux
2024-01-01 06:20:00,189.98,lux
2024-01-01 06:25:00,211.59,lux
2024-01-01 06:30:00,257.3,lux
2024-01-01 06:35:00,161.13,lux
2024-01-01 06:40:00,277.94,lux
2024-01-01 06:45:00,123.48,lux
2024-01-01 06:50:00,281.48,lux
2024-01-01 06:55:00,181.37,lux
2024-01-01 07:00:00,187.87,lux
2024-01-01 07:05:00,105.5,lux
2024-01-01 07:10:00,177.26,lux
2024-01-01 07:15:00,148.01,lux
2024-01-01 07:20:00,169.62,lux
2024-01-01 07:25:00,193.13,lux
2024-01-01 07:30:00,247.89,lux
2024-01-01 07:35:00,210.38,lux
2024-01-01 07:40:00,215.38,lux
2024-01-01 07:45:00,145.22,lux
2024-01-01 07:50:00,155.96,lux
2024-01-01 07:55:00,289.94,lux
2024-01-01 08:00:00,726.48,lux
2024-01-01 08:05:00,965.62,lux
2024-01-01 08:10:00,775.69,lux
2024-01-01 08:15:00,800.23,lux
2024-01-01 08:20:00,907.04,lux
2024-01-01 08:25:00,927.19,lux
2024-01-01 08:30:00,788.92,lux
2024-01-01 08:35:00,761.18,lux
2024-01-01 08:40:00,794.41,lux
2024-01-01 08:45:00,833.8,lux
2024-01-01 08:50:00,889.13,lux
2024-01-01 08:55:00,800.42,lux
2024-01-01 09:00:00,861.89,lux
2024-01-01 09:05:00,963.84,lux
2024-01-01 09:10:00,838.13,lux
2024-01-01 09:15:00,831.17,lux
2024-01-01 09:20:00,648.11,lux
2024-01-01 09:25:00,536.93,lux
2024-01-01 09:30:00,838.84,lux
2024-01-01 09:35:00,790.52,lux
2024-01-01 09:40:00,748.52,lux
2024-01-01 09:45:00,824.35,lux
2024-01-01 09:50:00,793.96,lux
2024-01-01 09:55:00,912.78,lux
2024-01-01 10:00:00,808.61,lux
